product_id,store_id,order_date,selling_price,customer_id,order_id
P0666,S0031,8/19/2021,1813,1111117713,1111111153
P0150,S0108,6/13/2022,3065,1111121083,1111111154
P0660,S0137,10/5/2022,4113,1111119317,1111111155
P0129,S0135,7/24/2020,4276,1111114326,1111111156
P0732,S0132,5/13/2023,4512,1111116106,1111111157
P0718,S0013,8/2/2021,4834,1111117938,1111111158
P0258,S0026,4/7/2021,2080,1111114449,1111111159
P0177,S0023,3/28/2022,1354,1111118301,1111111160
P0131,S0074,5/1/2020,1857,1111120478,1111111161
P0666,S0097,1/22/2021,1989,1111112982,1111111162
P0321,S0065,6/6/2023,3718,1111112142,1111111163
P0083,S0070,10/7/2021,3946,1111115736,1111111164
P0506,S0020,2/6/2021,429,1111113540,1111111165
P0454,S0115,11/8/2021,2856,1111112287,1111111166
P0151,S0038,7/14/2020,4866,1111116863,1111111168
P0160,S0125,3/19/2020,4780,1111115519,1111111169
P0172,S0094,12/31/2021,4366,1111121610,1111111170
P0046,S0094,11/2/2022,725,1111119493,1111111171
P0543,S0138,4/12/2020,3279,1111115418,1111111172
P0204,S0104,2/22/2021,2568,1111112932,1111111173
P0389,S0051,7/28/2021,3920,1111115707,1111111174
P0177,S0028,5/18/2022,2850,1111111866,1111111175
P0212,S0102,10/11/2020,3035,1111112279,1111111176
P0332,S0065,7/15/2023,226,1111113240,1111111177
P0735,S0031,12/11/2021,3169,1111117354,1111111178
P0327,S0105,11/19/2020,3432,1111113459,1111111179
P0296,S0138,10/6/2023,1274,1111117635,1111111180
P0116,S0049,2/24/2022,2303,1111113172,1111111181
P0425,S0058,3/21/2020,488,1111118326,1111111182
P0408,S0094,9/23/2021,2380,1111115983,1111111183
P0690,S0052,8/1/2022,1961,1111113809,1111111184
P0705,S0084,8/14/2023,2195,1111119558,1111111185
P0438,S0099,7/18/2020,566,1111121019,1111111186
P0356,S0091,12/31/2020,768,1111120468,1111111187
P0336,S0026,6/17/2020,1292,1111117321,1111111188
P0436,S0117,2/28/2023,3944,1111116963,1111111189
P0639,S0104,8/31/2023,1403,1111120668,1111111190
P0296,S0001,10/13/2023,3600,1111121461,1111111191
P0635,S0087,8/29/2020,1007,1111113550,1111111192
P0470,S0122,4/22/2023,2389,1111118554,1111111193
P0574,S0026,7/11/2022,1270,1111114590,1111111194
P0067,S0038,4/22/2020,4176,1111115327,1111111195
P0165,S0096,2/10/2022,2677,1111114921,1111111196
P0705,S0002,2/17/2022,2499,1111119891,1111111197
P0490,S0108,6/18/2020,114,1111115797,1111111198
P0297,S0045,10/1/2020,526,1111115773,1111111199
P0205,S0013,6/14/2023,2645,1111119141,1111111200
P0201,S0056,9/30/2023,4149,1111117389,1111111201
P0446,S0031,1/15/2020,659,1111119403,1111111202
P0490,S0049,5/12/2023,2332,1111118562,1111111203
P0590,S0016,8/10/2023,2915,1111121169,1111111204
P0652,S0060,9/27/2023,1331,1111120372,1111111205
P0689,S0086,5/17/2021,4495,1111117977,1111111206
P0018,S0073,5/11/2023,385,1111115121,1111111207
P0046,S0056,1/31/2020,2593,1111119377,1111111208
P0183,S0050,6/28/2023,4631,1111114587,1111111209
P0144,S0051,4/4/2022,2351,1111113423,1111111210
P0584,S0087,9/30/2022,1763,1111120082,1111111211
P0114,S0068,11/19/2022,2646,1111119440,1111111212
P0129,S0016,5/11/2022,4793,1111119016,1111111213
P0054,S0056,6/26/2021,1167,1111112737,1111111214
P0051,S0077,8/15/2022,3144,1111114835,1111111215
P0394,S0040,2/18/2023,1581,1111114251,1111111216
P0390,S0117,7/7/2022,2685,1111120381,1111111217
P0726,S0004,11/23/2020,4982,1111111437,1111111218
P0658,S0067,2/3/2020,2989,1111120911,1111111219
P0402,S0035,5/9/2021,735,1111121520,1111111220
P0454,S0104,9/6/2022,2484,1111114488,1111111221
P0185,S0108,10/19/2023,1433,1111118816,1111111222
P0551,S0033,8/28/2020,3168,1111119175,1111111223
P0103,S0143,5/13/2022,1324,1111112932,1111111224
P0718,S0058,7/8/2021,3591,1111114202,1111111225
P0712,S0049,3/5/2021,281,1111112629,1111111226
P0427,S0033,7/4/2020,2675,1111113898,1111111227
P0147,S0051,1/15/2021,2705,1111121488,1111111228
P0511,S0065,10/4/2023,1624,1111120806,1111111229
P0277,S0116,7/3/2020,3801,1111122115,1111111230
P0427,S0062,1/8/2021,1627,1111114345,1111111231
P0348,S0003,1/16/2023,907,1111118028,1111111232
P0260,S0065,2/22/2023,1038,1111119006,1111111233
P0054,S0106,3/7/2023,3060,1111119928,1111111234
P0543,S0002,10/23/2023,2933,1111117708,1111111235
P0150,S0038,9/3/2022,1461,1111115108,1111111236
P0260,S0043,9/3/2020,2718,1111119297,1111111237
P0574,S0091,9/20/2023,2738,1111121279,1111111238
P0356,S0126,6/6/2023,760,1111120395,1111111239
P0109,S0137,11/4/2021,2109,1111114897,1111111240
P0681,S0062,8/21/2023,4072,1111116714,1111111241
P0712,S0122,6/16/2023,1735,1111120273,1111111242
P0280,S0049,8/31/2022,2401,1111113213,1111111243
P0608,S0095,7/14/2021,3480,1111112079,1111111244
P0171,S0143,4/10/2021,2364,1111114871,1111111245
P0681,S0050,6/3/2023,1522,1111111726,1111111246
P0658,S0091,3/26/2023,159,1111114082,1111111247
P0348,S0050,6/19/2020,455,1111118984,1111111248
P0225,S0096,3/12/2021,538,1111112503,1111111249
P0131,S0019,9/14/2020,746,1111120881,1111111250
P0718,S0139,3/15/2023,3257,1111115703,1111111251
P0312,S0066,4/14/2022,104,1111113595,1111111252
P0591,S0043,3/2/2022,2206,1111115653,1111111253
P0608,S0131,5/7/2020,1384,1111116815,1111111254
P0131,S0097,9/5/2021,3651,1111121766,1111111255
P0649,S0085,11/9/2020,1933,1111119599,1111111256
P0297,S0023,7/26/2021,167,1111115326,1111111257
P0704,S0115,6/27/2021,2223,1111121252,1111111258
P0237,S0024,9/9/2023,1061,1111114373,1111111259
P0574,S0123,4/28/2021,830,1111113037,1111111260
P0712,S0085,8/5/2022,2349,1111116621,1111111261
P0652,S0043,7/26/2023,1722,1111116480,1111111262
P0448,S0024,10/18/2021,4113,1111113708,1111111263
P0134,S0104,3/20/2023,4048,1111118273,1111111264
P0705,S0008,5/10/2021,4803,1111120351,1111111265
P0175,S0018,1/6/2020,1212,1111121727,1111111266
P0640,S0105,1/5/2022,1853,1111118011,1111111267
P0704,S0078,7/6/2020,1202,1111112476,1111111268
P0732,S0094,12/18/2021,4209,1111118202,1111111269
P0534,S0019,5/30/2021,4507,1111118382,1111111270
P0195,S0012,9/11/2021,118,1111113904,1111111271
P0054,S0102,2/27/2023,110,1111112152,1111111272
P0287,S0020,12/27/2023,2416,1111113681,1111111273
P0435,S0095,1/4/2023,468,1111116645,1111111274
P0459,S0013,4/28/2021,2352,1111113076,1111111275
P0345,S0024,5/15/2022,1940,1111119292,1111111276
P0656,S0030,5/5/2020,1610,1111121391,1111111277
P0726,S0125,5/7/2021,2771,1111117928,1111111278
P0499,S0093,7/15/2021,2753,1111114683,1111111279
P0185,S0051,6/19/2020,3734,1111120274,1111111280
P0140,S0083,11/2/2023,2549,1111115195,1111111281
P0413,S0022,3/27/2023,3747,1111115053,1111111282
P0681,S0054,5/5/2022,1308,1111114236,1111111283
P0333,S0021,10/1/2020,1367,1111116179,1111111284
P0665,S0033,2/12/2023,4646,1111117732,1111111285
P0296,S0038,3/8/2023,223,1111120365,1111111286
P0109,S0051,2/11/2023,3818,1111121863,1111111287
P0017,S0067,2/1/2023,279,1111121194,1111111288
P0417,S0023,12/28/2020,4819,1111119102,1111111289
P0261,S0127,4/2/2022,3064,1111114521,1111111290
P0185,S0097,7/29/2021,2534,1111118031,1111111291
P0412,S0052,9/9/2020,1745,1111115974,1111111292
P0569,S0023,5/23/2020,3245,1111114943,1111111293
P0543,S0026,1/17/2022,4988,1111116451,1111111294
P0666,S0038,9/11/2020,1924,1111113841,1111111295
P0311,S0008,6/7/2023,3954,1111120824,1111111296
P0131,S0078,2/24/2020,3568,1111116770,1111111297
P0116,S0084,1/20/2022,543,1111116495,1111111298
P0018,S0137,10/13/2021,4956,1111121132,1111111299
P0103,S0138,2/19/2021,768,1111119928,1111111300
P0499,S0066,4/15/2021,4017,1111120438,1111111301
P0132,S0019,8/22/2020,4769,1111116333,1111111302
P0161,S0115,7/31/2023,2354,1111112361,1111111303
P0412,S0013,3/20/2021,2842,1111121910,1111111304
P0325,S0096,12/14/2021,3092,1111113501,1111111305
P0348,S0055,6/13/2022,1847,1111115193,1111111306
P0015,S0068,1/9/2023,2176,1111117040,1111111307
P0054,S0105,1/13/2023,1438,1111112536,1111111308
P0658,S0104,8/15/2022,3399,1111117901,1111111309
P0015,S0110,4/18/2023,4989,1111111343,1111111310
P0590,S0135,7/19/2022,3488,1111117867,1111111311
P0689,S0058,9/12/2021,1861,1111115995,1111111312
P0148,S0113,6/21/2020,4666,1111119919,1111111313
P0051,S0045,7/17/2021,2128,1111114075,1111111314
P0321,S0095,3/23/2020,447,1111117660,1111111315
P0611,S0026,2/16/2022,1734,1111118471,1111111316
P0662,S0012,12/12/2020,496,1111120615,1111111317
P0458,S0018,12/29/2023,4444,1111122161,1111111318
P0665,S0088,4/6/2022,4877,1111116578,1111111319
P0483,S0110,2/25/2023,3494,1111115059,1111111320
P0162,S0024,12/29/2021,530,1111117740,1111111321
P0148,S0096,8/25/2021,3421,1111116503,1111111322
P0325,S0140,12/11/2021,4584,1111117194,1111111323
P0406,S0139,1/26/2020,1476,1111116128,1111111324
P0286,S0085,6/2/2020,279,1111119714,1111111325
P0521,S0107,5/7/2022,1552,1111112288,1111111326
P0325,S0054,2/22/2020,3207,1111118958,1111111327
P0499,S0031,9/25/2021,3253,1111116760,1111111328
P0520,S0097,3/27/2020,1525,1111116417,1111111329
P0673,S0031,8/27/2021,4408,1111117436,1111111330
P0140,S0072,4/1/2020,2392,1111112819,1111111331
P0499,S0112,9/24/2023,2924,1111117288,1111111332
P0015,S0070,10/15/2022,2765,1111117051,1111111333
P0689,S0021,4/2/2022,1913,1111115613,1111111334
P0679,S0102,11/25/2021,2252,1111112857,1111111335
P0103,S0052,4/4/2021,269,1111112689,1111111336
P0054,S0004,7/2/2022,2486,1111115522,1111111337
P0005,S0142,12/23/2021,212,1111116040,1111111338
P0390,S0095,10/19/2021,4820,1111116134,1111111339
P0277,S0082,6/20/2021,4879,1111111286,1111111340
P0399,S0113,8/10/2020,1752,1111116525,1111111341
P0092,S0008,12/23/2022,2329,1111117615,1111111342
P0160,S0108,7/1/2021,3758,1111121101,1111111343
P0348,S0012,2/21/2023,1854,1111111304,1111111344
P0321,S0122,8/19/2023,1322,1111111166,1111111345
P0140,S0004,2/8/2020,887,1111113504,1111111346
P0658,S0002,9/1/2023,2964,1111112090,1111111347
P0514,S0135,11/12/2020,2524,1111113681,1111111348
P0157,S0041,11/16/2023,100,1111113051,1111111349
P0148,S0008,4/9/2020,4088,1111116137,1111111350
P0499,S0117,7/5/2022,4180,1111116941,1111111351
P0211,S0013,12/1/2022,4378,1111115866,1111111352
P0427,S0025,1/20/2020,5000,1111121998,1111111353
P0377,S0119,1/19/2022,2449,1111120627,1111111354
P0483,S0095,4/18/2022,2288,1111116967,1111111355
P0551,S0138,7/31/2021,137,1111121437,1111111356
P0171,S0008,1/26/2020,484,1111121765,1111111357
P0131,S0022,6/11/2023,3928,1111117592,1111111358
P0312,S0043,1/13/2021,353,1111112527,1111111359
P0611,S0106,12/14/2020,4459,1111113938,1111111360
P0402,S0013,11/2/2021,1088,1111111228,1111111361
P0103,S0124,12/29/2023,2400,1111118976,1111111362
P0171,S0080,8/30/2020,608,1111114086,1111111363
P0438,S0019,9/5/2023,1207,1111114403,1111111364
P0655,S0062,5/22/2022,232,1111121671,1111111365
P0364,S0095,9/24/2020,2842,1111116473,1111111366
P0602,S0117,8/14/2021,4663,1111112877,1111111367
P0454,S0142,10/21/2020,4774,1111115302,1111111368
P0131,S0038,5/14/2023,3074,1111115248,1111111369
P0735,S0010,10/25/2023,2150,1111114622,1111111370
P0213,S0115,3/17/2022,2643,1111115586,1111111371
P0652,S0035,10/10/2020,2934,1111116513,1111111372
P0389,S0091,2/3/2020,3839,1111116775,1111111373
P0500,S0096,9/19/2022,763,1111122220,1111111374
P0655,S0088,10/10/2022,3940,1111120038,1111111375
P0681,S0016,5/13/2023,2437,1111114723,1111111376
P0417,S0020,11/14/2021,3900,1111117065,1111111377
P0438,S0096,10/19/2023,1813,1111122211,1111111378
P0658,S0028,7/5/2022,3629,1111113908,1111111379
P0223,S0094,6/25/2020,328,1111113775,1111111380
P0499,S0027,1/24/2020,2990,1111116725,1111111381
P0602,S0008,1/1/2023,4064,1111122201,1111111382
P0079,S0006,5/23/2021,3486,1111121793,1111111383
P0504,S0122,12/24/2022,2849,1111122052,1111111384
P0660,S0137,6/26/2022,1279,1111115282,1111111385
P0282,S0060,2/8/2023,3984,1111121790,1111111386
P0695,S0031,8/31/2021,4134,1111112013,1111111387
P0312,S0056,6/29/2022,3443,1111111696,1111111388
P0747,S0085,1/29/2020,1072,1111114984,1111111389
P0219,S0137,9/3/2022,4030,1111114025,1111111390
P0435,S0002,9/20/2022,4274,1111116317,1111111391
P0651,S0038,8/8/2020,3773,1111111851,1111111392
P0671,S0013,8/24/2020,4328,1111117694,1111111393
P0051,S0140,8/27/2021,2949,1111121821,1111111394
P0361,S0001,7/23/2021,4277,1111121404,1111111395
P0590,S0070,7/28/2023,2302,1111116043,1111111396
P0389,S0056,6/28/2022,1928,1111115638,1111111397
P0144,S0066,11/5/2023,4207,1111121441,1111111398
P0438,S0124,6/16/2022,1216,1111121135,1111111399
P0640,S0023,11/7/2020,3403,1111116298,1111111400
P0506,S0027,10/21/2021,723,1111122140,1111111401
P0718,S0070,9/20/2022,890,1111116255,1111111402
P0679,S0002,9/14/2021,4665,1111116481,1111111403
P0083,S0091,4/21/2022,1005,1111114240,1111111404
P0286,S0139,12/18/2021,4818,1111121543,1111111405
P0635,S0126,7/28/2020,1959,1111113079,1111111406
P0470,S0025,8/6/2022,4725,1111115112,1111111407
P0514,S0138,7/30/2023,503,1111117792,1111111408
P0005,S0065,7/31/2022,4650,1111111796,1111111409
P0275,S0078,4/25/2021,367,1111116532,1111111410
P0195,S0023,5/25/2021,167,1111113222,1111111411
P0356,S0137,4/5/2022,1001,1111119861,1111111412
P0325,S0062,1/9/2022,4949,1111114468,1111111413
P0453,S0033,7/1/2020,2980,1111115884,1111111414
P0327,S0106,7/3/2021,2216,1111116608,1111111415
P0691,S0144,8/9/2020,832,1111112350,1111111416
P0035,S0012,11/30/2021,1642,1111117270,1111111417
P0297,S0004,12/9/2023,742,1111119940,1111111418
P0448,S0087,9/27/2022,3003,1111112735,1111111419
P0196,S0078,11/1/2021,3873,1111113878,1111111420
P0286,S0097,12/28/2023,3365,1111116232,1111111421
P0611,S0117,11/15/2020,4755,1111120456,1111111422
P0212,S0065,1/12/2022,3665,1111118625,1111111423
P0050,S0062,1/17/2023,1015,1111117743,1111111424
P0296,S0105,6/19/2020,4290,1111116014,1111111425
P0726,S0060,2/25/2022,1930,1111118823,1111111426
P0602,S0089,1/16/2022,878,1111117952,1111111427
P0613,S0067,3/25/2023,2399,1111117088,1111111428
P0131,S0006,4/29/2021,447,1111116757,1111111429
P0162,S0097,1/3/2020,2974,1111116716,1111111430
P0587,S0015,5/10/2020,2771,1111118760,1111111431
P0372,S0004,11/18/2023,4951,1111114041,1111111432
P0258,S0008,10/25/2022,3439,1111116329,1111111433
P0695,S0049,1/8/2020,1461,1111116205,1111111434
P0151,S0108,6/5/2020,4429,1111114293,1111111435
P0079,S0117,6/15/2022,4911,1111118980,1111111436
P0584,S0055,10/27/2022,1904,1111111681,1111111437
P0263,S0001,9/5/2020,4812,1111120098,1111111438
P0195,S0085,4/18/2023,4933,1111118324,1111111439
P0664,S0083,4/15/2021,2615,1111116982,1111111440
P0665,S0045,2/9/2022,4709,1111114184,1111111441
P0427,S0094,3/15/2022,4310,1111120286,1111111442
P0582,S0108,1/5/2023,1018,1111116847,1111111443
P0654,S0095,11/11/2022,3980,1111120542,1111111444
P0704,S0087,1/11/2020,1867,1111113336,1111111445
P0140,S0014,6/18/2023,2762,1111121186,1111111446
P0068,S0132,5/11/2020,2794,1111119513,1111111447
P0110,S0024,9/3/2022,4440,1111111863,1111111448
P0185,S0014,6/10/2020,3458,1111113211,1111111449
P0625,S0035,10/8/2022,220,1111118373,1111111450
P0089,S0132,5/5/2021,4913,1111114554,1111111451
P0690,S0083,2/12/2022,4712,1111115072,1111111452
P0206,S0085,5/14/2022,2387,1111113435,1111111453
P0067,S0038,1/8/2022,1164,1111119140,1111111454
P0114,S0103,5/1/2022,1354,1111121897,1111111455
P0657,S0102,10/23/2023,2817,1111119402,1111111456
P0116,S0013,4/4/2020,3717,1111119979,1111111457
P0280,S0090,4/17/2020,1528,1111120678,1111111458
P0151,S0126,2/13/2022,1000,1111111259,1111111459
P0046,S0094,12/5/2023,2041,1111117849,1111111460
P0438,S0104,11/16/2021,767,1111113662,1111111461
P0364,S0127,1/19/2023,1341,1111115265,1111111462
P0283,S0018,1/23/2022,978,1111112082,1111111463
P0664,S0127,6/5/2020,3577,1111113714,1111111464
P0694,S0011,11/24/2021,2978,1111111671,1111111465
P0732,S0132,4/9/2022,1211,1111113157,1111111466
P0131,S0108,10/25/2020,2379,1111112738,1111111467
P0400,S0098,1/13/2023,587,1111111882,1111111468
P0623,S0132,9/24/2022,1946,1111119853,1111111469
P0369,S0097,1/11/2020,2454,1111117913,1111111470
P0614,S0014,5/23/2021,1627,1111119055,1111111471
P0473,S0051,2/4/2020,4167,1111112700,1111111472
P0614,S0034,10/3/2020,4758,1111119237,1111111473
P0282,S0093,4/13/2023,1133,1111114435,1111111474
P0663,S0137,4/28/2023,3875,1111120671,1111111475
P0372,S0021,11/4/2021,4147,1111111619,1111111476
P0312,S0062,2/15/2021,4984,1111113284,1111111477
P0185,S0138,3/27/2023,3709,1111116438,1111111478
P0220,S0139,8/4/2020,1341,1111112874,1111111479
P0459,S0038,2/18/2021,1776,1111113519,1111111480
P0241,S0001,4/12/2020,1731,1111121901,1111111481
P0083,S0062,1/11/2020,4969,1111121154,1111111482
P0372,S0041,3/6/2023,4934,1111114160,1111111483
P0103,S0039,3/9/2023,482,1111119107,1111111484
P0018,S0065,8/9/2023,2608,1111113220,1111111485
P0201,S0082,1/22/2023,1704,1111112404,1111111486
P0485,S0108,9/8/2020,4475,1111115706,1111111487
P0536,S0138,4/24/2021,421,1111113113,1111111488
P0046,S0085,5/24/2023,912,1111121319,1111111489
P0665,S0033,4/11/2023,4479,1111111435,1111111490
P0332,S0126,2/18/2021,1508,1111113420,1111111491
P0204,S0026,7/6/2020,4425,1111111862,1111111492
P0312,S0125,11/16/2023,3937,1111112446,1111111493
P0453,S0144,12/20/2023,2866,1111111950,1111111494
P0364,S0001,7/9/2020,2414,1111115200,1111111495
P0520,S0024,11/24/2022,1723,1111111711,1111111496
P0175,S0105,10/17/2022,486,1111113401,1111111497
P0611,S0038,1/7/2021,2292,1111116672,1111111498
P0664,S0144,5/24/2020,4120,1111111520,1111111499
P0665,S0141,5/25/2023,3013,1111113833,1111111500
P0316,S0085,11/8/2022,2487,1111115593,1111111501
P0205,S0085,1/23/2023,2025,1111114105,1111111502
P0397,S0031,9/20/2023,2896,1111115131,1111111503
P0707,S0025,1/18/2021,926,1111118732,1111111504
P0356,S0108,9/13/2023,3015,1111112624,1111111505
P0092,S0105,6/24/2023,196,1111120112,1111111506
P0712,S0010,7/5/2023,4869,1111118709,1111111507
P0439,S0094,4/13/2022,3317,1111112408,1111111508
P0611,S0048,11/24/2020,4819,1111118105,1111111509
P0665,S0018,9/24/2020,544,1111120498,1111111510
P0704,S0122,5/13/2022,4086,1111115108,1111111511
P0406,S0105,4/26/2020,3214,1111117546,1111111512
P0412,S0088,5/8/2021,3829,1111122100,1111111513
P0206,S0143,11/18/2023,1138,1111117259,1111111514
P0658,S0027,9/7/2023,4694,1111115551,1111111515
P0569,S0012,11/24/2023,3485,1111116446,1111111516
P0657,S0094,2/22/2021,3110,1111120041,1111111517
P0608,S0063,12/3/2021,1435,1111115635,1111111518
P0311,S0113,7/27/2020,1632,1111117757,1111111519
P0584,S0051,3/24/2022,815,1111115587,1111111520
P0229,S0026,11/11/2020,4352,1111116576,1111111521
P0068,S0012,4/22/2020,2268,1111119137,1111111522
P0204,S0126,2/22/2022,898,1111112344,1111111523
P0574,S0095,4/20/2023,917,1111115424,1111111524
P0664,S0094,3/23/2020,2783,1111112771,1111111525
P0673,S0035,9/22/2023,400,1111117525,1111111526
P0261,S0070,9/15/2023,664,1111118201,1111111527
P0017,S0049,12/12/2022,1692,1111120864,1111111528
P0390,S0125,2/24/2023,1613,1111120500,1111111529
P0663,S0070,9/30/2023,1689,1111115502,1111111530
P0658,S0040,9/30/2022,2523,1111118136,1111111531
P0226,S0055,8/16/2022,2668,1111111832,1111111532
P0325,S0063,1/14/2020,4209,1111120392,1111111533
P0572,S0038,12/12/2022,1186,1111113632,1111111534
P0671,S0085,11/26/2020,4744,1111120742,1111111535
P0514,S0003,10/25/2022,2575,1111113599,1111111536
P0681,S0106,9/8/2023,2910,1111115671,1111111537
P0511,S0110,11/8/2023,4785,1111121525,1111111538
P0116,S0082,10/6/2023,2802,1111114063,1111111539
P0092,S0093,5/30/2023,1454,1111114369,1111111540
P0151,S0040,8/18/2022,1139,1111111643,1111111541
P0400,S0068,10/11/2020,165,1111117894,1111111542
P0282,S0103,7/16/2020,2210,1111116591,1111111543
P0018,S0127,3/22/2020,3330,1111113492,1111111544
P0397,S0026,9/18/2021,3858,1111113154,1111111545
P0397,S0038,4/27/2023,3860,1111117031,1111111546
P0694,S0052,11/23/2021,2116,1111115525,1111111547
P0125,S0049,5/11/2020,338,1111112866,1111111548
P0196,S0096,12/25/2020,4867,1111122055,1111111549
P0109,S0082,9/29/2021,4322,1111119263,1111111550
P0260,S0010,10/13/2023,2421,1111114040,1111111551
P0067,S0018,9/18/2020,2339,1111118374,1111111552
P0551,S0031,4/15/2020,1563,1111121569,1111111553
P0046,S0126,2/25/2020,275,1111115091,1111111554
P0144,S0027,5/20/2022,4960,1111121575,1111111555
P0408,S0126,8/17/2021,1296,1111117864,1111111556
P0129,S0138,11/16/2021,660,1111113222,1111111557
P0394,S0106,6/21/2021,3463,1111115328,1111111558
P0296,S0014,11/22/2020,979,1111118997,1111111559
P0164,S0026,5/28/2021,2683,1111114630,1111111560
P0325,S0034,11/7/2021,2744,1111112441,1111111561
P0679,S0110,8/13/2021,1887,1111115827,1111111562
P0402,S0078,3/9/2023,3674,1111120035,1111111563
P0689,S0078,11/14/2022,4743,1111118209,1111111564
P0679,S0130,9/16/2023,2283,1111119361,1111111565
P0533,S0095,6/7/2021,1898,1111118279,1111111566
P0140,S0106,1/19/2020,268,1111116124,1111111567
P0663,S0062,12/31/2022,4401,1111121994,1111111568
P0376,S0062,4/21/2023,2864,1111113619,1111111569
P0079,S0026,10/28/2020,4700,1111113828,1111111570
P0587,S0052,7/25/2022,627,1111121596,1111111571
P0695,S0108,7/11/2022,1529,1111113669,1111111572
P0116,S0102,8/22/2023,4740,1111120709,1111111573
P0296,S0068,8/7/2021,347,1111120927,1111111574
P0223,S0115,6/10/2022,3813,1111121009,1111111575
P0726,S0086,9/30/2022,4825,1111118952,1111111576
P0652,S0126,3/6/2020,4178,1111120301,1111111577
P0261,S0124,7/13/2022,4576,1111113503,1111111578
P0458,S0094,8/2/2021,3176,1111118077,1111111579
P0402,S0094,7/20/2023,3390,1111119077,1111111580
P0024,S0038,7/25/2023,3624,1111117110,1111111581
P0283,S0122,3/15/2023,1557,1111111321,1111111582
P0110,S0094,9/6/2021,569,1111114785,1111111583
P0062,S0030,2/18/2021,414,1111119766,1111111584
P0134,S0108,7/16/2021,4785,1111119331,1111111585
P0499,S0107,12/7/2020,3634,1111119742,1111111586
P0067,S0123,3/28/2021,1949,1111111182,1111111587
P0459,S0126,5/20/2020,859,1111119964,1111111588
P0263,S0131,1/5/2022,1574,1111117693,1111111589
P0718,S0126,8/28/2023,3342,1111113262,1111111590
P0125,S0117,1/10/2021,4788,1111121834,1111111591
P0336,S0031,3/11/2021,4466,1111119584,1111111592
P0382,S0062,2/16/2023,4551,1111114147,1111111593
P0436,S0103,1/17/2020,1459,1111115205,1111111594
P0011,S0085,12/11/2023,812,1111120176,1111111595
P0438,S0093,6/10/2023,2214,1111115089,1111111596
P0341,S0038,1/5/2020,707,1111117333,1111111597
P0583,S0085,12/24/2020,498,1111114760,1111111598
P0690,S0043,2/3/2022,3250,1111111461,1111111599
P0092,S0049,5/22/2023,4158,1111119165,1111111600
P0057,S0130,6/10/2020,4084,1111119757,1111111601
P0673,S0065,1/30/2021,1936,1111114849,1111111602
P0665,S0125,9/21/2023,3693,1111112335,1111111603
P0642,S0050,3/28/2021,4664,1111111419,1111111604
P0144,S0095,11/23/2022,333,1111111848,1111111605
P0116,S0067,5/27/2020,2296,1111114150,1111111606
P0201,S0126,8/22/2022,3430,1111117010,1111111607
P0574,S0105,8/19/2021,126,1111120213,1111111608
P0427,S0110,4/18/2023,3004,1111118446,1111111609
P0402,S0066,1/5/2021,149,1111121860,1111111610
P0483,S0110,7/7/2023,3859,1111121310,1111111611
P0017,S0055,6/19/2023,4682,1111113739,1111111612
P0351,S0031,6/19/2022,3121,1111111293,1111111613
